"surv2","logA2"
1,1.97772360528885
1,1.47712125471966
1,1.90308998699194
1,1.77815125038364
1,2.04139268515822
1,1.84509804001426
1,1.47712125471966
1,2.25527250510331
1,2.20411998265592
1,1.65321251377534
1,1.8750612633917
0,1.92941892571429
1,1.60205999132796
1,1.95424250943932
1,1.39794000867204
1,1.77815125038364
1,1.77815125038364
1,2.65321251377534
1,1.69897000433602
1,2.43136376415899
1,2.09691001300806
0,1.92941892571429
1,2.35218251811136
1,2.22530928172586
1,1.47712125471966
1,1.81291335664286
0,1.74036268949424
1,1.90308998699194
1,1.65321251377534
1,1.60205999132796
1,1.95424250943932
1,1.69897000433602
1,2.31175386105575
1,1.84509804001426
1,1.69897000433602
1,2.50514997831991
1,1.54406804435028
1,2.04139268515822
1,2.13033376849501
1,2.09691001300806
1,2.07918124604762
1,1.69897000433602
1,2.26717172840301
1,2
1,1.77815125038364
1,1.84509804001426
1,1.77815125038364
1,1.92941892571429
0,1.8750612633917
0,1.60205999132796
1,1.81291335664286
1,1.84509804001426
1,1.65321251377534
1,2.2380461031288
1,1.69897000433602
1,1.92941892571429
1,2.32221929473392
1,2.11394335230684
1,2.17609125905568
0,1.69897000433602
1,2.02118929906994
1,1.47712125471966
1,2.13033376849501
1,2.30102999566398
1,2.38021124171161
1,2.07918124604762
1,1.95424250943932
0,1.60205999132796
1,1.84509804001426
1,1.77815125038364
1,2.13033376849501
1,2.30102999566398
1,2.14612803567824
1,2.20411998265592
1,2.07918124604762
0,1.77815125038364
1,1.95424250943932
1,1.95424250943932
1,2.04139268515822
1,1.68124123737559
1,2.07918124604762
1,1.84509804001426
1,1.84509804001426
1,1.77815125038364
1,1.69897000433602
1,1.54406804435028
1,1.69897000433602
1,1.90308998699194
1,2
1,2.14612803567824
0,1.84509804001426
1,2
1,2.25527250510331
1,1.69897000433602
1,2.20411998265592
1,2.02118929906994
1,2.27875360095283
1,2.11394335230684
1,1.84509804001426
0,2.02118929906994
0,1
1,1
0,1
0,1
1,1
0,0.698970004336019
0,1
0,1
1,1
0,1
0,0.698970004336019
1,0.698970004336019
1,1
0,1
1,1
1,1
0,1
0,1
1,0.698970004336019
0,1
0,1
0,1
0,1
0,1
0,0.698970004336019
0,0.698970004336019
0,0.698970004336019
0,1
1,1
1,0.698970004336019
0,0.698970004336019
1,0.698970004336019
1,0.698970004336019
0,1
0,1
1,1
