"Rank","Y1","Y2","Y4","Y5","Y10","Y15","Y20","Y25","Y29","Y35","Y39"
47,0.000027000,0.000033000,0.000151000,0.000625000,0.001272000,0.001225000,0.000401000,0.000771000,0.000350000,0.000235000,0.000571000
48,0.000027000,0.000017000,0.000067000,0.000586000,0.001272000,0.001103000,0.000401000,0.000720000,0.000339000,0.000235000,0.000560000
49,0.000027000,0.000017000,0.000050000,0.000586000,0.000763000,0.000953000,0.000263000,0.000710000,0.000339000,0.000223000,0.000470000
50,0.000027000,,0.000034000,0.000586000,0.000763000,0.000803000,0.000251000,0.000507000,0.000249000,0.000223000,0.000459000
51,,,0.000034000,0.000586000,0.000509000,0.000708000,0.000201000,0.000426000,0.000226000,0.000223000,0.000459000
52,,,0.000017000,0.000586000,0.000509000,0.000694000,0.000138000,0.000416000,0.000226000,0.000134000,0.000448000
53,,,0.000017000,0.000547000,0.000509000,0.000681000,0.000138000,0.000406000,0.000226000,0.000134000,0.000370000
54,,,0.000017000,0.000469000,0.000407000,0.000681000,0.000138000,0.000325000,0.000226000,0.000123000,0.000358000
55,,,0.000017000,0.000430000,0.000382000,0.000681000,0.000125000,0.000304000,0.000158000,0.000123000,0.000269000
56,,,0.000017000,0.000390000,0.000267000,0.000545000,0.000125000,0.000304000,0.000158000,0.000123000,0.000258000
57,,,0.000017000,0.000312000,0.000267000,0.000449000,0.000088000,0.000304000,0.000147000,0.000112000,0.000258000
58,,,0.000017000,0.000234000,0.000254000,0.000449000,0.000075000,0.000233000,0.000124000,0.000112000,0.000258000
59,,,0.000017000,0.000215000,0.000254000,0.000408000,0.000050000,0.000223000,0.000113000,0.000112000,0.000235000
60,,,,0.000195000,0.000254000,0.000327000,0.000025000,0.000213000,0.000113000,0.000112000,0.000224000
61,,,,0.000195000,0.000242000,0.000313000,0.000013000,0.000203000,0.000113000,0.000112000,0.000224000
62,,,,0.000195000,0.000127000,0.000313000,0.000013000,0.000203000,0.000113000,0.000112000,0.000224000
63,,,,0.000195000,0.000127000,0.000286000,0.000013000,0.000203000,0.000056000,0.000112000,0.000224000
64,,,,0.000059000,0.000127000,0.000272000,0.000013000,0.000203000,0.000045000,0.000045000,0.000224000
65,,,,0.000039000,0.000013000,0.000150000,0.000013000,0.000112000,0.000045000,0.000045000,0.000123000
66,,,,0.000039000,0.000013000,0.000136000,,0.000101000,0.000045000,0.000034000,0.000123000
67,,,,0.000020000,0.000013000,0.000136000,,0.000101000,0.000034000,0.000034000,0.000123000
68,,,,0.000020000,0.000013000,0.000136000,,0.000101000,0.000034000,0.000011000,0.000112000
69,,,,0.000020000,0.000013000,0.000041000,,0.000030000,0.000034000,0.000011000,0.000112000
70,,,,0.000020000,,0.000014000,,0.000020000,0.000034000,0.000011000,0.000112000
71,,,,0.000020000,,0.000014000,,0.000020000,0.000023000,0.000011000,0.000112000
72,,,,0.000020000,,,,0.000010000,0.000011000,0.000011000,0.000112000
73,,,,0.000020000,,,,0.000010000,0.000011000,0.000011000,0.000078000
74,,,,0.000020000,,,,0.000010000,0.000011000,0.000011000,0.000045000
75,,,,0.000020000,,,,0.000010000,0.000011000,,0.000034000
76,,,,,,,,0.000010000,0.000011000,,0.000022000
77,,,,,,,,0.000010000,0.000011000,,0.000022000
78,,,,,,,,0.000010000,0.000011000,,0.000011000
79,,,,,,,,,0.000011000,,0.000011000
80,,,,,,,,,0.000011000,,0.000011000
81,,,,,,,,,0.000011000,,0.000011000
82,,,,,,,,,,,0.000011000
83,,,,,,,,,,,0.000011000
